;name;city;street;data;message
0;Quicktravel;Klosterneuburg;Kreutzergasse 11;Gutschein 30€ (2017);
1;Bennewitz Autohaus;Klosterneuburg;Bachgasse 4;Rucksack mit Kleinigkeiten (2017);
2;Gschweidl Augenoptik-Hörgeräte-Foto;Klosterneuburg;Stadtplatz  27;20€ (2017);
3;Berger Handelsgesellschaft m.b.H.;Klosterneuburg;Stadtplatz 29;Schinken (2016);
4;Frey Restaurant;Klosterneuburg;Stadtplatz 14;(2016);
5;HARTL ÖLE;Klosterneuburg;Stadtpl. 15;1ölbox (2017);
6;GOTTARDI am Stadtplatz;Klosterneuburg;Stadtplatz 18;geschenksackerl (2017);
7;Pacado;Klosterneuburg;Stadtplatz 19;Keksdose (2016);
8;Zimmermann Tischkultur;Klosterneuburg;Stadtplatz 19;15€*10 (2017);
9;Friedrich Bottesch KG;Klosterneuburg;Stadtplatz 20;5 oder 6 Elektrogeräte (2017);
10;Brötchen Manufaktur OG;Klosterneuburg;Martinstraße 2;35€ Gutschein  (2016);
11;Kieslich OHG;Klosterneuburg;Stadtplatz  26;Halskette  (2016);
12;Schönes & Rahmen;Klosterneuburg;Stadtplatz 25;Bilderrahmen (2017);
13;Fahrschule Leo;Klosterneuburg;Stadtpl. 21;Paket + Gutschein (2017);
14;GITTA LISKA fashion & tradition;Klosterneuburg;Niedermarkt 24;(2016);
15;Country Home;Klosterneuburg;Stadtplatz 23;Geschenksackerl (2017);
16;Benetton;Klosterneuburg;Niedermarkt 19;3 Geschenksackerl (2017);Bestätigung bringen (2017)
17;Reisebüro Babenberg;Klosterneuburg;Niedermarkt 13;Gutschein (2017);
18;Hotel Anker;Klosterneuburg;Niedermarkt  5;20€ Gutschein (2017);liegt bei LSd im Spind (2017)
