;name;city;street;data;message
0;Kerbl am Weinberg;Klosterneuburg;Raphael-Donner Gasse 19;4x Wein (2016);
1;Nutz Heuriger ;Klosterneuburg;Meynertgasse 38;Ein doppelter (2017);
2;Seher - Schulteis Heuriger;Klosterneuburg;Buchbergasse 9;6x Wein (2017);
3;Pötsch Heuriger ;Klosterneuburg;Kard. Piffl-Platz 11;Geschenkspackerl im Wert von ca 35€ (2016);
4;Katzmayer-Oman Heuriger ;Klosterneuburg;Kard. Piffl-Platz 10;(2016);
