;name;city;street;data;message
0;Textil Müller G.m.b.H.;Kritzendorf;Durchstichstraße 2;30% Rabatt auf Einkauf (2017);
1;Resperger;Kritzendorf;Hauptstr. 105;(2016);Bringt auf die ds vorbei (2016)
2;Hauerhof 99;Kritzendorf;Hauptstraße 99;6x Wein (2016);
3;Vitovec - Schelhammerhof;Kritzendorf;Hauptstraße 24;12 Säfte und 4 Weine (2017);
4;Ubl-Doschek Heuriger;Kritzendorf;Schelhammergasse 64;6x Wein (2016);
5;Acetaia Pecoraro;Klosterneuburg;Eisenhütte 36;2x Essig (2017);
6;Weingut Familie Bauer;Klosterneuburg;Feldgasse 13;4x Wein (2016);
7;Tabaktrafik Gastinger;Kierling;Hauptstraße 121;Schweres sackerl (2017);
8;Glaserei Robert Glaser e.U.;Klosterneuburg;Hauptstraße 143;Gutschein (2016);
9;Kierlingerhof Gasthaus;Kierling;Hauptstraße 14;2x10€ (2017);
10;Frisör Kaisler;Kierling;Roman Himmelbauerplatz 1;Bürstenset  (2017);
11;Die Blaue Apotheke;Klosterneuburg/Kierling;Hauptstraße 153;3x Geschenkset (2016);
12;GUTENTHALER Elektro;Klosterneuburg-Kierling;Hauptstr. 159;Turmventilator (2017);
13;Karlsburger-Kreps - Flexleitenhof;Kritzendorf;Flexleitengasse 4-6;3x Wein (2017);
14;Rest Bäckerei;Höflein;Hauptstraße 91-93;Riesenstritzel (2016);
15;Gasthaus am Silbersee;Kritzendorf;Am Silbersee 1;20 € Gutschein  (2016);
16;Ubl - Schober Heuriger;Kritzendorf;Hauptstr. 191;"2 Flaschen Wein (1xWeiß; 1xRot) (2016)";
17;Steininger;Kritzendorf;Hauptstr. 141;7x Traubensaft  (2016);
18;Friseur Hans;Kritzendorf;Hauptstr. 131;6 Flaschen (2017);
19;Kaufmann Peter MR Dr.;Kritzendorf;Hauptstraße 102;Geschenkkorb + 4 Kisten Wein, Sekt, Bücher (2017);
