Subject,Start Date,End Date,Start Time,End Time,Location,Description
Bildungs- und Berufsberatung,09/10/2018,09/10/2018,15:00,18:00,Geh.beat (Bahnhof Kierling),http://www.klosterneuburg.at/Bildungs-_und_Berufsberatung_15
type brut,09/11/2018,09/11/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/11/2018,09/11/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Dauerausstellung ""ES WAR EINMAL ...""",09/11/2018,09/11/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
type brut,09/12/2018,09/12/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/12/2018,09/12/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Sonderausstellung ""Aus Großelterns Zeiten""",09/12/2018,09/12/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
NÖGKK-Workshop: Kinder-Shiatsu „Fit für die Schule – stark fürs Leben“,09/12/2018,09/12/2018,16:30,,Babenbergerhalle,http://www.klosterneuburg.at/NOeGKK-Workshop_Kinder-Shiatsu_Fit_fuer_die_Schule_stark_fuers_Leben_2
NÖGKK-Workshop: Baby-Shiatsu „Drück mich mal – aber bitte richtig“,09/12/2018,09/12/2018,14:30,,Babenbergerhalle,http://www.klosterneuburg.at/NOeGKK-Workshop_Baby-Shiatsu_Drueck_mich_mal_aber_bitte_richtig_1
"Dauerausstellung ""ES WAR EINMAL ...""",09/13/2018,09/13/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
type brut,09/13/2018,09/13/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/13/2018,09/13/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Sonderausstellung ""Aus Großelterns Zeiten""",09/14/2018,09/14/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
type brut,09/14/2018,09/14/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
LAIENTHEATER WEIDLING: Wiedersehen auf BORA BORA,09/14/2018,09/14/2018,20:00,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/LAIENTHEATER_WEIDLING_Wiedersehen_auf_BORA_BORA_2
