Subject,Start Date,End Date,Start Time,End Time,Location,Description
"Dauerausstellung ""ES WAR EINMAL ...""",10/12/2018,10/12/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Lions Flohmarkt 2018,10/12/2018,10/12/2018,00:01,23:59,Babenbergerhalle,http://www.klosterneuburg.at/Lions_Flohmarkt_2018_3
LAIENTHEATER WEIDLING: Wiedersehen auf BORA BORA,10/13/2018,10/13/2018,20:00,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/de/LAIENTHEATER_WEIDLING_Wiedersehen_auf_BORA_BORA_4
"Dauerausstellung ""ES WAR EINMAL ...""",10/13/2018,10/13/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Jazzico – Göppingen und Klosterneuburger Gäste,10/13/2018,10/13/2018,20:00,22:00,Festsaal der Raiffeisenbank,http://www.klosterneuburg.at/de/Jazzico_Goeppingen_und_Klosterneuburger_Gaeste_1
Lions Flohmarkt 2018,10/13/2018,10/13/2018,00:01,23:59,Babenbergerhalle,http://www.klosterneuburg.at/Lions_Flohmarkt_2018_3
LAIENTHEATER WEIDLING: Wiedersehen auf BORA BORA,10/14/2018,10/14/2018,20:00,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/de/LAIENTHEATER_WEIDLING_Wiedersehen_auf_BORA_BORA_4
"Dauerausstellung ""ES WAR EINMAL ...""",10/14/2018,10/14/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Musik im Stift: Bachchor Salzburg,10/14/2018,10/14/2018,17:00,,Stift Klosterneuburg,http://www.klosterneuburg.at/Musik_im_Stift_Bachchor_Salzburg_1
Lions Flohmarkt 2018,10/14/2018,10/14/2018,00:01,23:59,Babenbergerhalle,http://www.klosterneuburg.at/Lions_Flohmarkt_2018_3
BÜCHEREI KIERLING: TAG DER OFFENEN TÜR,10/14/2018,10/14/2018,10:00,16:30,Haus im Grünen,http://www.klosterneuburg.at/BUeCHEREI_KIERLING_TAG_DER_OFFENEN_TUeR_1
“living a dream ...”,10/15/2018,10/15/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"VHS Vortrag - ""Oman""",10/15/2018,10/15/2018,18:30,," Großer Sitzungssaal, Rathaus 2.Stock",http://www.klosterneuburg.at/VHS_Vortrag_-_Oman_
"Dauerausstellung ""ES WAR EINMAL ...""",10/15/2018,10/15/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
“living a dream ...”,10/16/2018,10/16/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
Eigene Selbstsorge und Kraftquellen für pflegende Angehörige,10/16/2018,10/16/2018,17:00,18:30,Rathaus Klosterneuburg,http://www.klosterneuburg.at/Eigene_Selbstsorge_und_Kraftquellen_fuer_pflegende_Angehoerige_1
"Dauerausstellung ""ES WAR EINMAL ...""",10/16/2018,10/16/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
“living a dream ...”,10/17/2018,10/17/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/living_a_dream_
"Dauerausstellung ""ES WAR EINMAL ...""",10/17/2018,10/17/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"VHS Vortrag - ""Oman""",10/18/2018,10/18/2018,18:30,,Ortszentrum Weidling (WOZ),http://www.klosterneuburg.at/VHS_Vortrag_-_Oman_4
"Dauerausstellung ""ES WAR EINMAL ...""",10/18/2018,10/18/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
