;name;city;street;data;message
0;Apotheke 'Zum heiligen Andreas';St. Andrä-Wördern;Greifensteinerstraße 27;(2017);
1;Wiesbauer bistro & shop;St. Andrä-Wördern;Tullnerstraße 4;Cooles Geschenkspackerl  (2016);
2;Elektroinstallationen Neumaier Walter;St. Andrä Wördern;Kirchenplatz 1;2x Gutschein (2017);
3;Fitnessstudio Zig-Zag;Sankt Andrä-Wördern;Tullnerstraße 6a;2x Gutscheine  (2016);
4;Lindenkeller GesmbH;St. Andrä-Wördern;Wallenböckgasse 21;10 € Gutschein  (2016);
5;ADEG Binder;St. Andrä-Wördern;Tullnerstraße 30a;2x Wein (2017);
6;Susanna Kittinger;St. Andrä-Wördern;Tullner Str. 30a;komische Uhr (2017);
7;JUST - Leitern & Gerüste;Zeiselmauer;Bundesstraße B 14;2 Kuverts\/Gutscheine (2016);
8;Hagenthaler Ölmanufaktur;St. Andrä-Wördern;Eduard-Klinger-Straße 3c;1 Flasche Öl (2017);
9;Hausers Feinkostladen;St. Andrä-Wördern;Josef-Karner-Platz 4;3x 5€ Gutschein (2017);
10;Frisusanne;St. Andrä-Wördern;Franz-Schubert-Gasse 23;Haarspray und Gutschein (2017);
11;Woll-Ecke;St. Andrä-Wördern;Dr.-Ignaz-Stich-Platz 2a;1 Ballen wolle (2016);
12;Ramsl Elektro;Wördern;Dr. Ignaz Stichplatz 5;Taschenlampe und 50€ (2016);
13;GARTEN - CAFE Gastronomiebetriebs- gesellschaft mbH;Wördern;Greifensteiner Str. 46;1x Brunch Gutschein (2017);
14;Brauhaus Marchart;St. Andrä-Wördern;Greifensteiner Str. 92;2x Burgergutschein (2017);
15;Gasthof zum Braunen Bär;Greifenstein;Hauptstraße 10;50€ Gutschein (2017);
16;Der Waldhof;Klosterneuburg/ Maria Gugging;Hauptstraße 132;2x40€ Gutschein (2017);
17;GLASER ROBERT Glaserei;Kierling;Hauptstr. 143;50€ Gutschein (2017);
18;Franz Hascher;Hintersdorf;Haselbachstr. 39;Zierkürbisse (2017);
