;name;city;street;data;message
0;Trat-Wiesner Heuriger;Klosterneuburg;Herthergasse 49;6x Wein (2017);
1;TORTENMANUFAKTUR Christoph Hollander;Weidling;Hauptstraße 11;2 Torten (2016);
2;Die Greisslerei Zeillinger GmbH;Weidling;Janschkygasse 6;(2016);Über Josef zischkin  (2016)
3;Wittmann Hörgeräte;Klosterneuburg;Hofkirchnerg. 17;Viel (2017);
4;Gasthaus Rath-Smetana;Weidling;Hauptstraße 51;30€ (2017);
5;Aigner Johann/Weidlinger Krauthahn;Klosterneuburg-Weidling;Hauptstraße 42;2x3er karton (2017);
6;Zeiner Heuriger;Klosterneuburg-Weidling;Hauptstr. 32;3x10€ Gutschein (2017);
7;Haar & Co;Weidling;Hauptstraße 1a;2*20€ (2017);
