;name;city;street;data;message
0;ÖAMTC;Klosterneuburg;Schüttaustraße 9;Sackerl mit viel Zeugs drinnen (2017);
1;Babenberger Stuben;Klosterneuburg;Inkustraße  6;3x 5€ (2017);
2;Lackierzentrum Klosterneuburg;Klosterneuburg;Aufeldgasse  68;2x Pralinen + Gutschein (2017);
3;Lazerfun;Klosterneuburg;Inkustraße  1-7;2x 3er Spiel (2017);
4;Stars Fitness;Klosterneuburg;Inkustraße 1-7;Gutschein (2016);
5;Zoo & Co.;Klosterneuburg;Inkustr. 1-7;6 Falschen + Teddy (2017);Reklame auflegen (2017)
