;name;city;street;data;message
0;Hitzel Heuriger;Klosterneuburg;Haseldorfergasse 13;2x Wein (2017);
1;Trat Gasthaus;Klosterneuburg-Weidling;Brandmayerstr. 21;Wodka (2017);
2;Trattoria Castel Nuovo;Klosterneuburg;Weidlinger Straße 39;12x 10€ Gutschein  (2016);
3;Computershop Hochreiter;Klosterneuburg;Weidlinger Straße 35a;Netzteil, WLAN Stick, USB Hub (2016);
4;TIP TOP Frisiersalon;Klosterneuburg;Kollersteig 2;3x Gutscheine  (2016);Spendenbestätigung!  (2016)
5;Markgraf Wirtshaus;Klosterneuburg;Kollersteig 6;Gutschein für zwei 4 Gänge Menü (2017);
6;Fisch & Feinkost Svoboda;Klosterneuburg-Weidling;Weidlingerstr. 36A;20€ gutschein  (2016);
7;Gruber-Kopp - Berchtesgadnerhof;Klosterneuburg;Agnesstraße 61;2 Flaschen Wein (2017);
8;Zimmermanns Wirtshaus - Heuriger;Klosterneuburg;Agnesstraße 57;6x Wein (2016);
9;Heuriger Gruber;Klosterneuburg;Agnesstraße 43;3x2 Wein + Gutscheine (2017);
10;Heuriger Redinger;Klosterneuburg;Agnesstraße 23;Gutschein (2017);
11;Schmuckenschlager Heuriger;Klosterneuburg;Agnesstr. 46;6x Wein (2017);
