;name;city;street;data;message
0;MOSER HELGA;Klosterneuburg;Leopoldstr. 14;Weleda Lotion Produkte <3 (2016);
1;TAM Asiatisches Restaurant;Klosterneuburg;Pater-Abel-Str. 1;2x 5 Euro Gutschein  (2016);
2;Österreichische Post Aktiengesellschaft;Klosterneuburg;Leopoldstraße 21;Werbemittel  (2016);
3;BAWAG PSK Filiale/Post;Klosterneuburg;Leopoldstraße  21;Ramsch (2017);
4;KOSTBAR Partyservice GmbH;Klosterneuburg;Roman Karl Scholz-Platz 5;30€ Gutschein  (2016);
5;Haartempel;Klosterneuburg;Leopoldstraße 16a;(2016);
6;Stehzeit Imbiss;Klosterneuburg;Leopoldstr. 12;(2016);
7;Zwazl Foto;Klosterneuburg;Leopoldstr. 6;3x25€ (2017);
8;Kranister Cafe Konditorei;Klosterneuburg;Leopoldstraße 4;Erdbeertorte (2016);
9;Stiftsvinothek;Klosterneuburg;Rathausplatz 24;6x Wein (2016);
10;Atellier Herzsache;Klosterneuburg;Leopoldstrasse 3;(2016);
11;Doggy Style Hundesalon;Klosterneuburg;Leopoldstr. 3;(2016);
12;Dusella Installateur;Klosterneuburg;Leopoldstraße 5;(2017);
13;fairkleidet;Klosterneuburg;Leopoldstraße 14/1;Gutschein (2017);
