;name;city;street;data;message
0;Schittenkopf Blumen;Klosterneuburg;Rathauspl. 15;Gutschein (2017);
1;Stiftscafe;Klosterneuburg;Rathauspl. 20;Gutschein (2017);
2;Escorial Café;Klosterneuburg;Stiftsplatz;20€  (2017);
3;Rathaus-Apotheke;Klosterneuburg;Rathausplatz 13;Creme (2017);
4;Kieslich OHG;Klosterneuburg;Rathausplatz  12;Kette (2017);
5;Kinderladen;Klosterneuburg;Rathausplatz 8;20€ Gutschein  (2016);
6;Schuh- und Podologiezentrum Klosterneuburg;Klosterneuburg;Ortnergasse 10;10x 10€ Gutschein (2017);
7;TRAXLER MARTHA Friseur;Klosterneuburg;Ortnerg. 7;Gutschein  (2016);
8;Stiftsmuseum;Klosterneuburg;Marzellingasse 3-5;Gutschein wein (2017);
9;Sehwerkstatt;Klosterneuburg;Rathausplatz 2;(2016);
