id 	created_when 	id 	name 	id 	company 	city 	zip 	street 	latitude 	longitude
4229	2017-09-11 21:12:57	9	Liste 2017	903	Acetaia Pecoraro	Klosterneuburg	3400	Eisenhütte 36	48.3118330	16.2874566	
4231	2017-09-11 21:12:57	9	Liste 2017	179	Der Waldhof	Klosterneuburg/ Maria Gugging	3400	Hauptstraße 132	48.3176122	16.2376989	
4238	2017-09-11 21:12:57	9	Liste 2017	3315	Computershop Hochreiter	Klosterneuburg	3400	Weidlinger Straße 35a	48.2948575	16.3288634	
4240	2017-09-11 21:12:57	9	Liste 2017	370	Zoo & Co.	Klosterneuburg	3400	Inkustr. 1-7	48.2917974	16.3415320	
4241	2017-09-11 21:12:57	9	Liste 2017	878	Rest Bäckerei	Höflein	3421	Hauptstraße 91-93	48.3494191	16.2757897	
4242	2017-09-11 21:12:57	9	Liste 2017	2463	Berger Handelsgesellschaft m.b.H.	Klosterneuburg	3400	Stadtplatz 29	48.3092282	16.3240899	
4244	2017-09-11 21:12:57	9	Liste 2017	441	Happyland GmbH	Klosterneuburg	3400	In der Au	48.3077235	16.3339877	
4245	2017-09-11 21:12:57	9	Liste 2017	205	Wüde Goaß Restaurant	Klosterneuburg	3400	Strandbadstr. 15	48.3059498	16.3362849	
4251	2017-09-11 21:12:57	9	Liste 2017	193	Frey Restaurant	Klosterneuburg	3400	Stadtplatz 14	48.3096762	16.3236304	
4252	2017-09-11 21:12:57	9	Liste 2017	383	GITTA LISKA fashion & tradition	Klosterneuburg	3400	Niedermarkt 24	48.3101129	16.3251939	
4256	2017-09-11 21:12:57	9	Liste 2017	537	Haartempel	Klosterneuburg	3400	Leopoldstraße 16a	48.3035590	16.3255950	
4257	2017-09-11 21:12:57	9	Liste 2017	247	Stehzeit Imbiss	Klosterneuburg	3400	Leopoldstr. 12	48.3040786	16.3254991	
4259	2017-09-11 21:12:57	9	Liste 2017	313	Doggy Style Hundesalon	Klosterneuburg	3400	Leopoldstr. 3	48.3045056	16.3259599	
4260	2017-09-11 21:12:57	9	Liste 2017	391	Spitzbart Gärtnerei	Klosterneuburg	3400	Donaustraße 4	48.3004317	16.3337940	
4261	2017-09-11 21:12:57	9	Liste 2017	389	Sehwerkstatt	Klosterneuburg	3400	Rathausplatz 2	48.3047090	16.3251386	
4263	2017-09-11 21:12:57	9	Liste 2017	255	Escorial Café	Klosterneuburg	3400	Stiftsplatz	48.3069202	16.3259761	
4265	2017-09-11 21:12:57	9	Liste 2017	297	Bennewitz Autohaus	Klosterneuburg	3400	Bachgasse 4	48.3089215	16.3248506	
4267	2017-09-11 21:12:57	9	Liste 2017	3283	Kinderladen	Klosterneuburg	3400	Rathausplatz 8	48.3057115	16.3240522	
4268	2017-09-11 21:12:57	9	Liste 2017	895	MOSER HELGA	Klosterneuburg	3400	Leopoldstr. 14	48.3037910	16.3255927	
4269	2017-09-11 21:12:57	9	Liste 2017	2742	Österreichische Post Aktiengesellschaft	Klosterneuburg	3400	Leopoldstraße 21	48.3028672	16.3276801	
4271	2017-09-11 21:12:57	9	Liste 2017	3307	JUST - Leitern & Gerüste	Zeiselmauer	3424	Bundesstraße B 14	48.3241930	16.1897060	
4272	2017-09-11 21:12:57	9	Liste 2017	283	Elektro Göttinger GmbH	Klosterneuburg	3400	Stadtplatz  4	48.3087824	16.3224200	
4273	2017-09-11 21:12:57	9	Liste 2017	844	Stars Fitness	Klosterneuburg	3400	Inkustraße 1-7	48.2917974	16.3415320
