id	created_when	id	name	id	name	city	street	
4191	2017-09-11 21:12:57	9	Liste 2017	2920	GARTEN - CAFE Gastronomiebetriebs- gesellschaft mb...	Wördern	Greifensteiner Str. 46	
4192	2017-09-11 21:12:57	9	Liste 2017	3313	Frisör Laltra	Klosterneuburg	Wiener Straße 102	
4193	2017-09-11 21:12:57	9	Liste 2017	314	Drogerie Carola	Klosterneuburg	Wiener Straße 106	
4194	2017-09-11 21:12:57	9	Liste 2017	1990	Johann Wallner Textilreinigungsgesell- schaft m.b....	Klosterneuburg	Weidlinger Straße 2	
4195	2017-09-11 21:12:57	9	Liste 2017	250	Cafe zum Baumeister	Klosterneuburg	Weidlingerstraße 9	
4196	2017-09-11 21:12:57	9	Liste 2017	175	Markgraf Wirtshaus	Klosterneuburg	Kollersteig 6	
4197	2017-09-11 21:12:57	9	Liste 2017	543	TIP TOP Frisiersalon	Klosterneuburg	Kollersteig 2	
4198	2017-09-11 21:12:57	9	Liste 2017	875	Zwazl Foto	Klosterneuburg	Leopoldstr. 6	
4199	2017-09-11 21:12:57	9	Liste 2017	204	Trat Gasthaus	Klosterneuburg-Weidling	Brandmayerstr. 21	
4200	2017-09-11 21:12:57	9	Liste 2017	182	Gasthaus Rath-Smetana	Weidling	Hauptstraße 51	
4201	2017-09-11 21:12:57	9	Liste 2017	197	Kierlingerhof Gasthaus	Kierling	Hauptstraße 14	
4202	2017-09-11 21:12:57	9	Liste 2017	356	Tabaktrafik Gastinger	Kierling	Hauptstraße 121	
4203	2017-09-11 21:12:57	9	Liste 2017	534	Friseur Hans	Kritzendorf	Hauptstr. 131	
4204	2017-09-11 21:12:57	9	Liste 2017	236	Steininger	Kritzendorf	Hauptstr. 141	
4205	2017-09-11 21:12:57	9	Liste 2017	181	Gasthaus am Silbersee	Kritzendorf	Am Silbersee 1	
4206	2017-09-11 21:12:57	9	Liste 2017	2859	Fitnessstudio Zig-Zag	Sankt Andrä-Wördern	Tullnerstraße 6a	
4207	2017-09-11 21:12:57	9	Liste 2017	3319	Wiesbauer bistro & shop	St. Andrä-Wördern	Tullnerstraße 4	
4208	2017-09-11 21:12:57	9	Liste 2017	3235	Susanna Kittinger	St. Andrä-Wördern	Tullner Str. 30a	
4209	2017-09-11 21:12:57	9	Liste 2017	536	Haarmonie Naturfriseur	Klosterneuburg	Hofkirchnergasse 19	
4210	2017-09-11 21:12:57	9	Liste 2017	3279	der honiq	Klosterneuburg	Aufeldgasse 9	
4211	2017-09-11 21:12:57	9	Liste 2017	198	kredenz.me	Klosterneuburg	Wienerstrasse 102	
4212	2017-09-11 21:12:57	9	Liste 2017	186	Trattoria Castel Nuovo	Klosterneuburg	Weidlinger Straße 39	
4213	2017-09-11 21:12:57	9	Liste 2017	2944	Franz Hascher	Hintersdorf	Haselbachstr. 39	
4214	2017-09-11 21:12:57	9	Liste 2017	227	Nutz Heuriger 	Klosterneuburg	Meynertgasse 38	
4215	2017-09-11 21:12:57	9	Liste 2017	235	Seher - Schulteis Heuriger	Klosterneuburg	Buchbergasse 9	
4216	2017-09-11 21:12:57	9	Liste 2017	233	Schmuckenschlager Heuriger	Klosterneuburg	Agnesstr. 46	
4217	2017-09-11 21:12:57	9	Liste 2017	223	Karlsburger-Kreps - Flexleitenhof	Kritzendorf	Flexleitengasse 4-6	
4218	2017-09-11 21:12:57	9	Liste 2017	456	Lazerfun	Klosterneuburg	Inkustraße  1-7	
4219	2017-09-11 21:12:57	9	Liste 2017	211	Hauerhof 99	Kritzendorf	Hauptstraße 99	
4220	2017-09-11 21:12:57	9	Liste 2017	384	Katharina Rumpeltasche	Klosterneuburg	Hundskehle 2	
4221	2017-09-11 21:12:57	9	Liste 2017	207	Heuriger Redinger	Klosterneuburg	Agnesstraße 23	
4222	2017-09-11 21:12:57	9	Liste 2017	238	Ubl-Doschek Heuriger	Kritzendorf	Schelhammergasse 64	
4223	2017-09-11 21:12:57	9	Liste 2017	220	Heuriger Gruber	Klosterneuburg	Agnesstraße 43	
4224	2017-09-11 21:12:57	9	Liste 2017	171	Schuh- und Podologiezentrum Klosterneuburg	Klosterneuburg	Ortnergasse 10	
4225	2017-09-11 21:12:57	9	Liste 2017	3309	Naschkatze	Wien	Lienfeldergasse 53	
4226	2017-09-11 21:12:57	9	Liste 2017	396	KOLB Blumen	Klosterneuburg	Weidlinger Str. 18	
4227	2017-09-11 21:12:57	9	Liste 2017	901	Fleischhauerei Feiler	Klosterneuburg	Weidlingerstr. 6	
4228	2017-09-11 21:12:57	9	Liste 2017	281	TORTENMANUFAKTUR Christoph Hollander	Weidling	Hauptstraße 11	
4229	2017-09-11 21:12:57	9	Liste 2017	903	Acetaia Pecoraro	Klosterneuburg	Eisenhütte 36	
4230	2017-09-11 21:12:57	9	Liste 2017	3314	Frisör Kaisler	Kierling	Roman Himmelbauerplatz 1	
