;name;city;street;data;message
0;Wolkenstein küche & wohnen;Klosterneuburg;Wiener Straße 80;2 Sackerl (Gläsersets+ anderes) (2017);
1;Spitzbart Gärtnerei;Klosterneuburg;Donaustraße 4;(2016);
2;der honiq;Klosterneuburg;Aufeldgasse 9;2 Gläser Honig  (2016);
3;Apotheke zur heiligen Agnes;Klosterneuburg;Wiener Straße 104;Beauty produkte (2017);
4;Frisör Laltra;Klosterneuburg;Wiener Straße 102;Gutschein und Haarprodukte (2017);
5;kredenz.me;Klosterneuburg;Wienerstrasse 102;3*10€ (2017);
6;GALLER Hafner;Klosterneuburg;Wiener Str. 102;Sekt und Gutschein (2017);
7;Eisen Eckl;Klosterneuburg;Schömergasse 1;3 Gelsengitter (2017);
8;Johann Wallner Textilreinigungsgesell- schaft m.b.H.;Klosterneuburg;Weidlinger Straße 2;20 € Gutschein  (2016);
9;Drogerie Carola;Klosterneuburg;Wiener Straße 106;Gutschein und Creme (2017);
10;Fleischhauerei Feiler;Klosterneuburg;Weidlingerstr. 6;Schinken (2016);
11;Boutique Laufsteg;Klosterneuburg;Weidlinger Straße  3;10 Spenden (Ketten, u.a.) (2017);
12;Cafe zum Baumeister;Klosterneuburg;Weidlingerstraße 9;Gutscheine (2017);
13;KOLB Blumen;Klosterneuburg;Weidlinger Str. 18;Blumen  (2016);
