;name;city;street;data;message
0;Zisser Maschinen;Klosterneuburg;Kierlingerstraße  9;Rucksack (2017);
1;Stadt-Apotheke;Klosterneuburg;Albrechtsstraße 39;5 Beauty Produkte (2017);
2;Waltraud Salon;Klosterneuburg;Albrechtstr. 30;Haarprodukte (2017);
3;FRÖHLICH GERHARD Rahmen & Bilder;Klosterneuburg;Albrechtstr. 22;Bilderrahmen (2017);
